# Frequency (cm-1), IR Intensity (km/mol), Raman Intensity (A2/amu)
6.322083400000000353e+01,8.343383352916274032e-02,8.992092813928181938e-02
6.359101726836684065e+01,8.378403955429014616e-02,9.146217181370003280e-02
6.396120053673367778e+01,8.410824964363236567e-02,9.306185738636513216e-02
6.433138380510051491e+01,8.440946612693564499e-02,9.472314683699417648e-02
6.470156707346734493e+01,8.469214400759098038e-02,9.644942293098120178e-02
6.507175034183418916e+01,8.496159588429509635e-02,9.824430802219426273e-02
6.544193361020101918e+01,8.522337750718242400e-02,1.001116847331493392e-01
6.581211687856786341e+01,8.548276958996171848e-02,1.020557187256884990e-01
6.618230014693469343e+01,8.574441959951478731e-02,1.040808838020653299e-01
6.655248341530153766e+01,8.601215388655740479e-02,1.061919896067491098e-01
6.692266668366836768e+01,8.628893322438611901e-02,1.083942122338039799e-01
6.729284995203521191e+01,8.657690829798692089e-02,1.106931280839471288e-01
6.766303322040204193e+01,8.687753158028233003e-02,1.130947513600273485e-01
6.803321648876888617e+01,8.719169089776356019e-02,1.156055756404022472e-01
6.840339975713571619e+01,8.751984144879317029e-02,1.182326200273901146e-01
6.877358302550254621e+01,8.786212328869774657e-02,1.209834804335594843e-01
6.914376629386939044e+01,8.821845883940643285e-02,1.238663866431256033e-01
6.951394956223622046e+01,8.858862975590038602e-02,1.268902658703050246e-01
6.988413283060306469e+01,8.897233506027561745e-02,1.300648136323599158e-01
7.025431609896989471e+01,8.936923354120648866e-02,1.334005728635601074e-01
7.062449936733673894e+01,8.977897361233683204e-02,1.369090223187698074e-01
7.099468263570356896e+01,9.020121355682232667e-02,1.406026754531466139e-01
7.136486590407041319e+01,9.063563462859632047e-02,1.444951911188049887e-01
7.173504917243724321e+01,9.108194898801942607e-02,1.486014975911887359e-01
7.210523244080408745e+01,9.153990399706160574e-02,1.529379316279128043e-01
7.247541570917091747e+01,9.200928401747970886e-02,1.575223944706809487e-01
7.284559897753776170e+01,9.248991054996703876e-02,1.623745269251579693e-01
7.321578224590459172e+01,9.298164131632845331e-02,1.675159058909394261e-01
7.358596551427143595e+01,9.348436870926064846e-02,1.729702649578415963e-01
7.395614878263826597e+01,9.399801790346537511e-02,1.787637419250958926e-01
7.432633205100509599e+01,9.452254482695357507e-02,1.849251563200549620e-01
7.469651531937194022e+01,9.505793412361157602e-02,1.914863201669908810e-01
7.506669858773877024e+01,9.560419719033148855e-02,1.984823853460227494e-01
7.543688185610561447e+01,9.616137033882603269e-02,2.059522308302131066e-01
7.580706512447244450e+01,9.672951310956409698e-02,2.139388928125418310e-01
